"","SYMBOL","ENTREZID"
"Sptan1",Sptan1,20740
"Sptbn1",Sptbn1,20742
"Dsp",Dsp,109620
"Aldh1l1",Aldh1l1,107747
"Cltc",Cltc,67300
"Atp1a2",Atp1a2,98660
"Fasn",Fasn,14104
"Pygb",Pygb,110078
"Aco2",Aco2,11429
"Aldh1l1.1",Aldh1l1,107747
"Vcl",Vcl,22330
"Jup",Jup,16480
"Atp5f1b",Atp5f1b,NA
"HSPA8",HSPA8,NA
"Pkm",Pkm,18746
"Hk1",Hk1,15275
"Glud1",Glud1,14661
"Atp5f1b.1",Atp5f1b,NA
"Acsl6",Acsl6,216739
"Vcp",Vcp,269523
"Pygm",Pygm,19309
"Dpysl2",Dpysl2,12934
"Pfkm",Pfkm,18642
"Aldoc",Aldoc,11676
"Atp5f1a",Atp5f1a,NA
"Abat",Abat,268860
"Eef2",Eef2,13629
"Aldh6a1",Aldh6a1,104776
"Lmna",Lmna,16905
"Pc",Pc,NA
"Atp1a3",Atp1a3,232975
"HSPA5",HSPA5,NA
"Eno1",Eno1,13806
"Tkt",Tkt,21881
"Hadha",Hadha,97212
"Lap3",Lap3,66988
"Oat",Oat,18242
"Lmnb1",Lmnb1,16906
"Uba1",Uba1,22201
"Gpd2",Gpd2,14571
"Tubb2a",Tubb2a,22151
"Tubb2b",Tubb2b,73710
"TUBB5",TUBB5,NA
"Tubb4b",Tubb4b,227613
"Idh2",Idh2,269951
"Hsp90ab1",Hsp90ab1,15516
"Acsbg1",Acsbg1,94180
"Pdia3",Pdia3,14827
"Ckb",Ckb,12709
"Atp1a1",Atp1a1,11928
"Krt87",Krt87,406219
"Krt85",Krt85,53622
"Ldhb",Ldhb,16832
"Hsp90b1",Hsp90b1,22027
"Lmna.1",Lmna,16905
"Epb41l2",Epb41l2,13822
"Selenbp1",Selenbp1,20341
"Npepps",Npepps,19155
"Atp2a2",Atp2a2,11938
"Krt81",Krt81,64818
"Hsp90aa1",Hsp90aa1,15519
"Psat1",Psat1,107272
"Pgm1",Pgm1,66681
"Gdi2",Gdi2,14569
"Vim",Vim,22352
"Anxa6",Anxa6,11749
"Tubb4a",Tubb4a,22153
"Krt31",Krt31,16660
"TUBA1A",TUBA1A,NA
"Tuba4a",Tuba4a,22145
"Gfap",Gfap,14580
"Abat.1",Abat,268860
"Mdh2",Mdh2,17448
"Phgdh",Phgdh,236539
"Aldh7a1",Aldh7a1,110695
"Sdha",Sdha,66945
"Gdi1",Gdi1,14567
"Ap2a1",Ap2a1,11771
"ACTB",ACTB,NA
"Actg1",Actg1,11465
"Glul",Glul,14645
"Krt35",Krt35,53617
"Krt5",Krt5,110308
"Prdx6",Prdx6,11758
"Aldh2",Aldh2,11669
"Pgk1",Pgk1,18655
"Ezr",Ezr,22350
"Ugp2",Ugp2,216558
"P4hb",P4hb,18453
"Tubb3",Tubb3,22152
"Hspa2",Hspa2,15512
"Gapdh",Gapdh,14433
"Krt6a",Krt6a,16687
"Gstm1",Gstm1,14862
"Gstm5",Gstm5,14866
"Gpi",Gpi,NA
"Vdac1",Vdac1,22333
"Aldh5a1",Aldh5a1,214579
"Hspd1",Hspd1,15510
"Lmnb2",Lmnb2,16907
"Hnrnpk",Hnrnpk,15387
"Eif4a1",Eif4a1,13681
"Cand1",Cand1,71902
"Ap2b1",Ap2b1,71770
"Aldoa",Aldoa,11674
"Krt33b",Krt33b,16671
"Slc1a2",Slc1a2,20511
"Slc1a2.1",Slc1a2,20511
"Ndrg2",Ndrg2,29811
"Idh1",Idh1,15926
"Ywhae",Ywhae,22627
"Hnrnpa2b1",Hnrnpa2b1,53379
"Cs",Cs,12974
"Prdx1",Prdx1,18477
"Eef1a1",Eef1a1,13627
"Acaa2",Acaa2,52538
"Pabpc1",Pabpc1,18458
"PDIA3",PDIA3,NA
"Acadl",Acadl,11363
"HSPA9",HSPA9,NA
"Slc25a4",Slc25a4,11739
"Ndufs1",Ndufs1,227197
"Acsf2",Acsf2,264895
"Ank2",Ank2,109676
"Immt",Immt,76614
"Aldh9a1",Aldh9a1,56752
"Ganab",Ganab,14376
"Me1",Me1,17436
"Krt10",Krt10,16661
"Krt17",Krt17,16667
"Krt75",Krt75,109052
"Ddah1",Ddah1,69219
"Uqcrc2",Uqcrc2,67003
"Uqcrc1",Uqcrc1,22273
"Rpsa",Rpsa,16785
"Slc25a5",Slc25a5,11740
"Hnrnpm",Hnrnpm,76936
"Rack1",Rack1,14694
"Hnrnpl",Hnrnpl,15388
"Acadvl",Acadvl,11370
"Hadhb",Hadhb,231086
"Ddx5",Ddx5,13207
"Dhx9",Dhx9,13211
"Mthfd1",Mthfd1,108156
"Ctnnb1",Ctnnb1,12387
"Krt6a.1",Krt6a,16687
"Crym",Crym,12971
"Ywhaz",Ywhaz,22631
"Ywhaq",Ywhaq,22630
"Ppia",Ppia,268373
"Etfa",Etfa,110842
"Ahcyl1",Ahcyl1,229709
"H2afy",H2afy,26914
"Gnai2",Gnai2,14678
"Ddx17",Ddx17,67040
"Ivd",Ivd,56357
"Suclg2",Suclg2,20917
"Maob",Maob,109731
"Ap1b1",Ap1b1,11764
"Aldh1a1",Aldh1a1,11668
"Plec",Plec,18810
"Etfdh",Etfdh,66841
"Krt33a",Krt33a,71888
"Krt14",Krt14,16664
"Krt42",Krt42,68239
"Krt1",Krt1,16678
"Pfkl",Pfkl,18641
"Sfn",Sfn,55948
"Hnrnpa1",Hnrnpa1,15382
"Tpi1",Tpi1,21991
"Alb",Alb,11657
"Rdx",Rdx,19684
"Acat1",Acat1,110446
"Atp6v1b2",Atp6v1b2,11966
"Mdh1",Mdh1,17449
"Asrgl1",Asrgl1,66514
"Hnrnpu",Hnrnpu,51810
"Ahcyl2",Ahcyl2,74340
"H2afy.1",H2afy,26914
"Fh",Fh,NA
"Rps3",Rps3,27050
"Septin11",Septin11,NA
"Cap1",Cap1,12331
"Got1",Got1,14718
"Kpnb1",Kpnb1,16211
"Maoa",Maoa,17161
"Rab14",Rab14,68365
"Ppp2r1a",Ppp2r1a,51792
"Anxa5",Anxa5,11747
"Acox1",Acox1,11430
"Ctnna1",Ctnna1,12385
"Nadk2",Nadk2,68646
"Slc25a3",Slc25a3,18674
"Cat",Cat,12359
"Plec.1",Plec,18810
"Ogdh",Ogdh,18293
"Gnb2",Gnb2,14693
"Gldc",Gldc,104174
"Atp5pb",Atp5pb,NA
"Got2",Got2,14719
"Pcca",Pcca,110821
"Cbr1",Cbr1,12408
"Ndufs2",Ndufs2,226646
"Rps9",Rps9,76846
"Mccc1",Mccc1,72039
"Pygl",Pygl,110095
"GAPDH",GAPDH,NA
"Eno2",Eno2,13807
"Ldha",Ldha,16828
"Hist1h4b",Hist1h4b,326620
"Slc1a3",Slc1a3,20512
"Hnrnpa3",Hnrnpa3,229279
"Etfb",Etfb,110826
"Atp1b2",Atp1b2,11932
"Cfl1",Cfl1,12631
"Gnao1",Gnao1,14681
"Tst",Tst,22117
"Ap2a2",Ap2a2,11772
"Pcbp1",Pcbp1,23983
"Atp5f1c",Atp5f1c,NA
"Acss1",Acss1,68738
"Prdx5",Prdx5,54683
"Pgam1",Pgam1,18648
"Atp6v1a",Atp6v1a,11964
"Oxct1",Oxct1,67041
"Cct3",Cct3,12462
"Pkp3",Pkp3,56460
"Add3",Add3,27360
"Hsd17b4",Hsd17b4,15488
"Adk",Adk,11534
"Matr3",Matr3,17184
"Cct8",Cct8,12469
"Dars",Dars,226414
"Ndufv1",Ndufv1,17995
"Atic",Atic,108147
"Uso1",Uso1,56041
"Oplah",Oplah,75475
"Slc27a1",Slc27a1,26457
"Stip1",Stip1,20867
"Hspa1a",Hspa1a,193740
"Krt16",Krt16,16666
"Krt36",Krt36,16673
"Krt2",Krt2,16681
"Krt76",Krt76,77055
"Krt79",Krt79,223917
"Sptbn2",Sptbn2,20743
"Pfkp",Pfkp,56421
"Ywhab",Ywhab,54401
"Selenbp1.1",Selenbp1,20341
"Pkp1",Pkp1,18772
"Dsg4",Dsg4,16769
"Eif4a2",Eif4a2,13682
"Ca2",Ca2,NA
"Gna13",Gna13,14674
"Echs1",Echs1,93747
"Rpn1",Rpn1,103963
"Ilf2",Ilf2,67781
"Ndufa10",Ndufa10,67273
"Septin2",Septin2,NA
"Dld",Dld,13382
"Ephx2",Ephx2,13850
"Canx",Canx,12330
"Hspa4l",Hspa4l,18415
"Vps35",Vps35,65114
"Slc25a11",Slc25a11,67863
"Sfxn5",Sfxn5,94282
"Eps15",Eps15,13858
"Cct4",Cct4,12464
"Rpl7a",Rpl7a,27176
"Napa",Napa,108124
"Prodh",Prodh,19125
"Khsrp",Khsrp,16549
"Eif2s3",Eif2s3,NA
"Eif2s3x",Eif2s3x,26905
"Ak3",Ak3,56248
"Prxl2a",Prxl2a,70564
"Pdhb",Pdhb,68263
"Nsf",Nsf,18195
"Gnb1",Gnb1,14688
"RPS4",RPS4,NA
"Mmut",Mmut,17850
"Dlat",Dlat,235339
"Ahcy",Ahcy,269378
"Acot1",Acot1,26897
"Sfpq",Sfpq,71514
"Snta1",Snta1,20648
"Myo6",Myo6,17920
"Acads",Acads,11409
"G6pdx",G6pdx,14381
"Psmd2",Psmd2,21762
"Paics",Paics,67054
"Rpl7",Rpl7,19989
"Slc25a12",Slc25a12,78830
"Septin5",Septin5,NA
"Cmpk2",Cmpk2,22169
"Eif3a",Eif3a,13669
"Pdia4",Pdia4,12304
"Actc1",Actc1,11464
"Krt10.1",Krt10,16661
"Krt8",Krt8,16691
"Vdac3",Vdac3,22335
"Ywhab.1",Ywhab,54401
"Hbb.b1",Hbb-b1,15129
"Hist1h1e",Hist1h1e,50709
"Hist1h1c",Hist1h1c,50708
"Eif4a3",Eif4a3,192170
"Rida",Rida,15473
"Csrp1",Csrp1,13007
"Vdac2",Vdac2,22334
"Aldh4a1",Aldh4a1,212647
"Atp5po",Atp5po,NA
"Arf3",Arf3,11842
"Pccb",Pccb,66904
"Rab10",Rab10,19325
